"PC","OP","A","B","C","D","E","H","L","TOTAL",,"C","Z"
"0000","MVI A,2","02","00","00","00","00","00","00","00","00","0","0"
"0002","MVI D,3","02","00","00","03","00","00","00","00","00","0","0"
"0004","MVI E,0","02","00","00","03","00","00","00","00","00","0","0"
"0006","LXI H,0","02","00","00","03","00","00","00","00","00","0","0"
"0009","MVI B,8","02","08","00","03","00","00","00","00","00","0","0"
"000B","DAD H","02","08","00","03","00","00","00","00","00","0","0"
"000C","RAL","04","08","00","03","00","00","00","00","00","0","0"
"000D","JNC 13","04","08","00","03","00","00","00","00","00","0","0"
"0013","DCR B","04","07","00","03","00","00","00","00","00","0","0"
"0014","JNZ 0B","04","07","00","03","00","00","00","00","00","0","0"
"000B","DAD H","04","07","00","03","00","00","00","00","00","0","0"
"000C","RAL","08","07","00","03","00","00","00","00","00","0","0"
"000D","JNC 13","08","07","00","03","00","00","00","00","00","0","0"
"0013","DCR B","08","06","00","03","00","00","00","00","00","0","0"
"0014","JNZ 0B","08","06","00","03","00","00","00","00","00","0","0"
"000B","DAD H","08","06","00","03","00","00","00","00","00","0","0"
"000C","RAL","10","06","00","03","00","00","00","00","00","0","0"
"000D","JNC 13","10","06","00","03","00","00","00","00","00","0","0"
"0013","DCR B","10","05","00","03","00","00","00","00","00","0","0"
"0014","JNZ 0B","10","05","00","03","00","00","00","00","00","0","0"
"000B","DAD H","10","05","00","03","00","00","00","00","00","0","0"
"000C","RAL","20","05","00","03","00","00","00","00","00","0","0"
"000D","JNC 13","20","05","00","03","00","00","00","00","00","0","0"
"0013","DCR B","20","04","00","03","00","00","00","00","00","0","0"
"0014","JNZ 0B","20","04","00","03","00","00","00","00","00","0","0"
"000B","DAD H","20","04","00","03","00","00","00","00","00","0","0"
"000C","RAL","40","04","00","03","00","00","00","00","00","0","0"
"000D","JNC 13","40","04","00","03","00","00","00","00","00","0","0"
"0013","DCR B","40","03","00","03","00","00","00","00","00","0","0"
"0014","JNZ 0B","40","03","00","03","00","00","00","00","00","0","0"
"000B","DAD H","40","03","00","03","00","00","00","00","00","0","0"
"000C","RAL","80","03","00","03","00","00","00","00","00","0","0"
"000D","JNC 13","80","03","00","03","00","00","00","00","00","0","0"
"0013","DCR B","80","02","00","03","00","00","00","00","00","0","0"
"0014","JNZ 0B","80","02","00","03","00","00","00","00","00","0","0"
"000B","DAD H","80","02","00","03","00","00","00","00","00","0","0"
"000C","RAL","00","02","00","03","00","00","00","00","00","1","0"
"000D","JNC 13","00","02","00","03","00","00","00","00","00","1","0"
"0010","DAD D","00","02","00","03","00","03","00","00","00","0","0"
"0011","ACI 0","00","02","00","03","00","03","00","00","00","0","1"
"0013","DCR B","00","01","00","03","00","03","00","00","00","0","0"
"0014","JNZ 0B","00","01","00","03","00","03","00","00","00","0","0"
"000B","DAD H","00","01","00","03","00","06","00","00","00","0","0"
"000C","RAL","00","01","00","03","00","06","00","00","00","0","0"
"000D","JNC 13","00","01","00","03","00","06","00","00","00","0","0"
"0013","DCR B","00","00","00","03","00","06","00","00","00","0","1"
"0014","JNZ 0B","00","00","00","03","00","06","00","00","00","0","1"
"0017","SHLD 40","00","00","00","03","00","06","00","00","06","0","1"
"001A","HLT"
